Phrase ^ Count
saith the lord  ^ 731
whose high places  ^ 2
high places and whose altars  ^ 2
and whose altars hezekiah  ^ 2
hezekiah hath taken away  ^ 2
but if ye say  ^ 2
this altar  ^ 2
me we trust in  ^ 2
our god is not  ^ 2
thee two thousand horses  ^ 2
horses if  ^ 2
thou be able on thy part to set  ^ 2
on thy part to set riders  ^ 2
riders upon  ^ 2
upon how  ^ 2
and put thy trust on  ^ 2
egypt for chariots  ^ 2
for chariots and for horsemen  ^ 2
how then wilt thou turn away  ^ 2
then wilt thou turn away the face  ^ 2
the face of one  ^ 2
of one captain  ^ 2
captain of the least  ^ 2
of the least of my masters  ^ 2
of my masters servants  ^ 2
servants and put thy trust  ^ 2
it the lord said  ^ 2
me go up against  ^ 2
land and destroy  ^ 2
come up without  ^ 2
without the lord  ^ 2
and destroy then said  ^ 2
i pray thee to  ^ 2
thy servants in the syrian language  ^ 2
in the syrian language for  ^ 2
we understand  ^ 2
then said eliakim  ^ 2
us in the jews language in the ears  ^ 2
are on the wall  ^ 2
and shebna and joah  ^ 2
and joah unto  ^ 2
unto rabshakeh  ^ 2
rabshakeh speak  ^ 2
the wall but rabshakeh  ^ 2
thee to speak these  ^ 2
words hath he not  ^ 2
hath he not sent me to  ^ 2
sent me to the men  ^ 2
the wall that they may eat  ^ 2
that they may eat their own dung  ^ 2
but rabshakeh said  ^ 2
their own dung and drink  ^ 2
and drink their own piss  ^ 2
their own piss with  ^ 2
sent me to  ^ 2
me to thy master  ^ 2
thy master and to  ^ 2
and to thee to speak  ^ 2
with then rabshakeh  ^ 2
then rabshakeh stood  ^ 2
voice in the jews language  ^ 2
of assyria thus  ^ 2
let not hezekiah  ^ 2
you for he shall not  ^ 2
he shall not be able  ^ 2
neither let hezekiah  ^ 2
let hezekiah make you trust  ^ 2
make you trust in  ^ 2
the lord will surely deliver  ^ 2
of assyria hearken  ^ 2
of assyria make  ^ 2
make an agreement with  ^ 2
an agreement with me by a present  ^ 2
me by a present and come out  ^ 2
and come out to  ^ 2
and every one of his fig tree  ^ 2
of his fig tree and drink  ^ 2
and drink ye every one  ^ 2
ye every one the waters  ^ 2
and wine a land  ^ 2
a land of bread  ^ 2
of bread and vineyards  ^ 2
a land of oil  ^ 2
of oil olive  ^ 2
i come and take you away  ^ 2
and take you away to  ^ 2
a land like your own land  ^ 2
like your own land a land  ^ 2
of the gods of the nations  ^ 2
his land out of the hand  ^ 2
of assyria where  ^ 2
have they delivered samaria  ^ 2
are the gods of hamath  ^ 2
are the gods of sepharvaim  ^ 2
of sepharvaim hena  ^ 2
hena and ivah  ^ 2
the lord should deliver  ^ 2
should deliver jerusalem  ^ 2
who are they among all  ^ 2
are they among all the gods  ^ 2
that have delivered  ^ 2
was saying answer  ^ 2
answer him not  ^ 2
and answered him not  ^ 2
a word for  ^ 2
commandment was saying  ^ 2
him not then came  ^ 2
the recorder to  ^ 2
hezekiah with their clothes  ^ 2
rent and told  ^ 2
and told him the words  ^ 2
then came eliakim  ^ 2
him the words of rabshakeh  ^ 2
in the lord god  ^ 2
against the king of assyria  ^ 2
even unto gaza  ^ 2
of rabshakeh and it came to pass  ^ 2
when king hezekiah  ^ 2
hezekiah heard  ^ 2
heard it  that he rent  ^ 2
it  that he rent his clothes  ^ 2
his clothes and covered himself  ^ 2
and covered himself with sackcloth  ^ 2
with sackcloth and went  ^ 2
thy god in whom  ^ 2
in whom thou  ^ 2
thou trustest  ^ 2
trustest deceive  ^ 2
deceive thee saying  ^ 2
thee saying jerusalem  ^ 2
jerusalem shall not  ^ 2
shall ye speak to  ^ 2
saying let not  ^ 2
let not thy god  ^ 2
of assyria behold  ^ 2
lands by destroying them utterly  ^ 2
by destroying them utterly and shalt thou  ^ 2
and shalt thou be delivered  ^ 2
hast heard what  ^ 2
what the kings  ^ 2
of assyria have done  ^ 2
have done to all  ^ 2
to all lands  ^ 2
be delivered have the gods  ^ 2
and haran and rezeph  ^ 2
and rezeph and the children  ^ 2
and the children of eden  ^ 2
of eden which  ^ 2
have the gods of the nations  ^ 2
delivered them which  ^ 2
them which my fathers  ^ 2
my fathers have destroyed  ^ 2
have destroyed as  ^ 2
as gozan  ^ 2
gozan and haran  ^ 2
where is the king  ^ 2
is the king of hamath  ^ 2
of hamath and the king  ^ 2
and the king of the city  ^ 2
of the city of sepharvaim  ^ 2
and ivah and hezekiah  ^ 2
of the lord and spread  ^ 2
and spread it before  ^ 2
and hezekiah received  ^ 2
received the letter  ^ 2
of the messengers and read  ^ 2
and read it and hezekiah  ^ 2
it and hezekiah went up  ^ 2
the lord and hezekiah  ^ 2
between the cherubims thou  ^ 2
art the god even thou alone  ^ 2
even thou alone of all  ^ 2
of all the kingdoms  ^ 2
and hezekiah prayed  ^ 2
the words of sennacherib  ^ 2
of sennacherib which  ^ 2
which hath sent  ^ 2
and see and hear  ^ 2
god of a truth  ^ 2
of a truth lord  ^ 2
lord the kings  ^ 2
and stone therefore they have destroyed  ^ 2
and have cast their gods  ^ 2
their gods into the fire  ^ 2
into the fire for  ^ 2
they were no  ^ 2
were no gods  ^ 2
but the work  ^ 2
therefore they have destroyed now  ^ 2
therefore o lord our god  ^ 2
that all the kingdoms  ^ 2
of the lord and he sent  ^ 2
of the priests covered  ^ 2
covered with sackcloth  ^ 2
and he sent eliakim  ^ 2
the scribe and the elders  ^ 2
and the elders of the priests  ^ 2
even thou only then isaiah  ^ 2
of israel that which  ^ 2
thou hast prayed to  ^ 2
to me against  ^ 2
me against sennacherib  ^ 2
then isaiah the son  ^ 2
of amoz sent  ^ 2
of zion hath despised  ^ 2
hath despised thee and laughed thee to scorn  ^ 2
thee and laughed thee to scorn the daughter  ^ 2
of jerusalem hath shaken  ^ 2
hath shaken her head  ^ 2
her head at  ^ 2
concerning him the virgin  ^ 2
him the virgin the daughter  ^ 2
at whom  ^ 2
thine eyes on high  ^ 2
on high even against  ^ 2
whom hast thou reproached  ^ 2
hast thou reproached and blasphemed  ^ 2
and blasphemed and against  ^ 2
and against whom  ^ 2
whom hast thou exalted  ^ 2
hast thou exalted thy voice  ^ 2
thy voice and lifted up  ^ 2
and lifted up thine eyes  ^ 2
to the height of the mountains  ^ 2
of the mountains to the sides  ^ 2
to the sides of lebanon  ^ 2
thereof and the choice fir trees  ^ 2
fir trees thereof and i will enter  ^ 2
the lord and hast said  ^ 2
of his carmel i  ^ 2
i have digged  ^ 2
have digged and drunk  ^ 2
and with the sole of my feet  ^ 2
of my feet have i dried up  ^ 2
have i dried up all  ^ 2
that thou shouldest be to lay waste  ^ 2
cities into ruinous  ^ 2
into ruinous heaps  ^ 2
heard long ago  ^ 2
long ago how i have done  ^ 2
how i have done it and of ancient times  ^ 2
it and of ancient times that i have formed  ^ 2
that i have formed it now  ^ 2
it now have i brought it to pass  ^ 2
have i brought it to pass that thou shouldest be  ^ 2
heaps therefore their inhabitants  ^ 2
and as the green herb  ^ 2
herb as the grass  ^ 2
as the grass on the housetops  ^ 2
on the housetops and as corn blasted  ^ 2
and as corn blasted before  ^ 2
before it be grown up  ^ 2
therefore their inhabitants were of small  ^ 2
were of small power  ^ 2
power they were dismayed  ^ 2
they were dismayed and confounded  ^ 2
and confounded they were  ^ 2
they were as the grass  ^ 2
as the grass of the field  ^ 2
of the field and as the green  ^ 2
it be grown up but i know  ^ 2
but i know thy abode  ^ 2
thy abode and thy going out  ^ 2
and thy coming in and thy rage  ^ 2
and thy rage against  ^ 2
against because  ^ 2
in thy nose and my bridle  ^ 2
and my bridle in thy lips  ^ 2
in thy lips and i will turn thee back  ^ 2
and i will turn thee back by the way  ^ 2
by the way by which  ^ 2
by which thou camest  ^ 2
because thy rage  ^ 2
thy rage against  ^ 2
against me and thy tumult  ^ 2
me and thy tumult is come up  ^ 2
is come up into mine ears  ^ 2
my hook in thy nose  ^ 2
thou camest and this  ^ 2
and in the third year  ^ 2
year sow  ^ 2
sow ye and reap  ^ 2
ye and reap and plant  ^ 2
shall be a sign unto thee ye shall eat  ^ 2
unto thee ye shall eat this year  ^ 2
and in the second year  ^ 2
year that which springeth of the same  ^ 2
that which springeth of the same and in the third  ^ 2
of amoz and they said  ^ 2
of trouble and of rebuke  ^ 2
the children are come  ^ 2
are come to  ^ 2
to the birth  ^ 2
the birth and there is not  ^ 2
and there is not strength  ^ 2
strength to bring forth  ^ 2
saith hezekiah  ^ 2
hezekiah this  ^ 2
is a day of trouble  ^ 2
fruit upward  ^ 2
and the remnant that is escaped  ^ 2
that is escaped of the house  ^ 2
take root downward  ^ 2
downward and bear  ^ 2
upward for  ^ 2
of the lord of hosts shall do  ^ 2
of hosts shall do this  ^ 2
for out of jerusalem  ^ 2
out of jerusalem shall go forth  ^ 2
shall go forth a remnant  ^ 2
a remnant and they that escape  ^ 2
and they that escape out of mount  ^ 2
out of mount zion  ^ 2
zion the zeal  ^ 2
this therefore  ^ 2
city nor  ^ 2
nor shoot  ^ 2
shoot an arrow  ^ 2
an arrow there  ^ 2
nor come before  ^ 2
nor cast  ^ 2
cast a bank  ^ 2
concerning the king  ^ 2
of assyria he shall not  ^ 2
against by the way  ^ 2
city saith  ^ 2
he came by the same shall he return  ^ 2
by the same shall he return and shall not  ^ 2
the lord for i will defend  ^ 2
for i will defend this  ^ 2
city to save  ^ 2
to save it for mine own sake  ^ 2
it for mine own sake and for my servant  ^ 2
of the assyrians a hundred  ^ 2
a hundred fourscore  ^ 2
thousand and when they arose early  ^ 2
and when they arose early in the morning  ^ 2
behold they were all  ^ 2
they were all dead  ^ 2
dead corpses  ^ 2
that the angel of the lord  ^ 2
of the lord went out  ^ 2
and smote in the camp  ^ 2
in the camp of the assyrians  ^ 2
corpses so sennacherib  ^ 2
so sennacherib king  ^ 2
of assyria departed  ^ 2
and returned and dwelt  ^ 2
and dwelt at nineveh  ^ 2
at nineveh and it came to pass  ^ 2
his sons smote  ^ 2
smote him with the sword  ^ 2
him with the sword and they  ^ 2
and they escaped  ^ 2
escaped into the land  ^ 2
into the land of armenia  ^ 2
of armenia and esarhaddon  ^ 2
and esarhaddon his son  ^ 2
as he was worshiping  ^ 2
was worshiping in the house  ^ 2
in the house of nisroch  ^ 2
of nisroch his god  ^ 2
his god that adrammelech  ^ 2
that adrammelech and sharezer  ^ 2
and sharezer his sons  ^ 2
to bring forth it may be  ^ 2
of assyria his master  ^ 2
his master hath sent  ^ 2
god and will reprove  ^ 2
and will reprove the words  ^ 2
it may be the lord  ^ 2
thy god hath heard  ^ 2
hath heard wherefore lift up  ^ 2
wherefore lift up thy prayer  ^ 2
thy prayer for  ^ 2
for the remnant  ^ 2
thy god will hear  ^ 2
will hear all  ^ 2
of rabshakeh whom  ^ 2
so the servants of king  ^ 2
hezekiah came  ^ 2
isaiah and isaiah  ^ 2
the lord be not afraid  ^ 2
the servants of the king  ^ 2
of assyria have blasphemed  ^ 2
your master thus  ^ 2
have blasphemed behold  ^ 2
by the sword in his own land  ^ 2
i will send a blast  ^ 2
a blast upon him and he shall hear  ^ 2
upon him and he shall hear a rumor  ^ 2
to his own land and i will cause him to fall  ^ 2
and i will cause him to fall by the sword  ^ 2
in his own land so rabshakeh  ^ 2
that he was departed  ^ 2
he was departed from lachish  ^ 2
so rabshakeh returned  ^ 2
returned and found  ^ 2
and found the king  ^ 2
of assyria warring  ^ 2
warring against  ^ 2
libnah for  ^ 2
say of  ^ 2
tirhakah king  ^ 2
king of ethiopia  ^ 2
and stood by  ^ 2
the mantle of elijah  ^ 2
of elijah that  ^ 2
fell from  ^ 2
where is the lord  ^ 2
is the lord god  ^ 2
hither and thither  ^ 2
of the prophets which  ^ 2
elisha behold  ^ 2
hath sent me to  ^ 2
here i pray thee  ^ 2
and they brought it to  ^ 2
these waters  ^ 2
and he went up from thence  ^ 2
from thence to  ^ 2
him knowest thou that  ^ 2
thou that the lord  ^ 2
will take away thy master  ^ 2
thy master from  ^ 2
from thy head  ^ 2
thy head today  ^ 2
know it  hold ye your peace  ^ 2
to elisha  ^ 2
elisha and said  ^ 2
it  hold ye your peace and elijah  ^ 2
and smote the waters  ^ 2
in his stead in those  ^ 2
the lord set thine house in order  ^ 2
set thine house in order for  ^ 2
shalt die and not  ^ 2
and not live  ^ 2
days was hezekiah sick  ^ 2
was hezekiah sick unto death  ^ 2
of amoz came  ^ 2
degrees backward  ^ 2
and isaiah the prophet  ^ 2
letters and a present  ^ 2
the son of baladan  ^ 2
of baladan king  ^ 2
of babylon sent  ^ 2
and the gold and the spices  ^ 2
and the spices and the precious  ^ 2
and the precious ointment  ^ 2
ointment and all the house  ^ 2
and all the house of his armor  ^ 2
of his armor and all  ^ 2
that was found  ^ 2
was found in his treasures  ^ 2
in his treasures there was  ^ 2
there was nothing  ^ 2
nothing in his house  ^ 2
in his house nor in all  ^ 2
nor in all his dominion  ^ 2
his dominion that  ^ 2
hezekiah showed  ^ 2
showed them not  ^ 2
them and showed them  ^ 2
the house of his precious things  ^ 2
of his precious things the silver  ^ 2
them not then came  ^ 2
him what said  ^ 2
men and from whence  ^ 2
and from whence came  ^ 2
came they unto  ^ 2
they unto thee and hezekiah  ^ 2
thee and hezekiah said  ^ 2
said they are come  ^ 2
they are come from a far country  ^ 2
then came isaiah  ^ 2
hezekiah and said  ^ 2
have they seen there is  ^ 2
nothing among my treasures  ^ 2
among my treasures that  ^ 2
i have not showed  ^ 2
have they seen in thine house  ^ 2
in thine house and hezekiah  ^ 2
hezekiah hear  ^ 2
day shall be carried  ^ 2
nothing shall be left  ^ 2
shall be left saith  ^ 2
come that all  ^ 2
that is in thine house  ^ 2
is in thine house and that which  ^ 2
and that which thy fathers  ^ 2
thy fathers have laid up in store  ^ 2
the lord and of thy sons  ^ 2
eunuchs in the palace  ^ 2
in the palace of the king  ^ 2
and of thy sons that  ^ 2
that shall issue  ^ 2
shall issue from  ^ 2
thee which thou shalt beget  ^ 2
thou shalt beget shall they take away  ^ 2
shall they take away and they shall be  ^ 2
and they shall be eunuchs  ^ 2
of babylon then said  ^ 2
peace and truth  ^ 2
then said hezekiah  ^ 2
isaiah good  ^ 2
good is the word  ^ 2
his face to  ^ 2
the wall and prayed  ^ 2
heart and have done  ^ 2
and have done that which is good  ^ 2
that which is good in thy sight  ^ 2
in thy sight and hezekiah  ^ 2
and hezekiah wept  ^ 2
wept sore  ^ 2
how i have walked  ^ 2
i have walked before  ^ 2
thee in truth and with a perfect  ^ 2
and it came to pass before  ^ 2
the god of david  ^ 2
thy father i have heard  ^ 2
i have heard thy prayer  ^ 2
thy prayer i have seen  ^ 2
i have seen thy tears  ^ 2
thy tears behold  ^ 2
of assyria and i will defend  ^ 2
and i will defend this  ^ 2
unto thy days  ^ 2
thy days fifteen  ^ 2
years and i will deliver  ^ 2
and i will deliver thee and this  ^ 2
thee and this city  ^ 2
city out of the hand  ^ 2
a lump of figs  ^ 2
and laid it on  ^ 2
by his servants  ^ 2
his ears shall tingle  ^ 2
their enemies because  ^ 2
shed innocent  ^ 2
in the garden of uzza  ^ 2
as his father  ^ 2
the way that  ^ 2
and walked not  ^ 2
not in the way  ^ 2
only if  ^ 2
my servant moses  ^ 2
the lord destroyed  ^ 2
thirty and one  ^ 2
the son of michaiah  ^ 2
the priest and ahikam  ^ 2
that is found for  ^ 2
the son of tikvah  ^ 2
and they communed with  ^ 2
of the book which  ^ 2
the keepers of the door  ^ 2
go up to  ^ 2
of the work which  ^ 2
is in the house of the lord  ^ 2
that have the oversight of the house  ^ 2
of judah and of jerusalem  ^ 2
or his daughter to pass through  ^ 2
which is in the valley  ^ 2
and stamped it small to powder  ^ 2
and took the bones  ^ 2
the bones out of  ^ 2
it according to the word of the lord  ^ 2
things that  ^ 2
of israel had made  ^ 2
of the high places that  ^ 2
the people both small  ^ 2
to jerusalem and the king  ^ 2
saying keep  ^ 2
keep the passover  ^ 2
that judged  ^ 2
of judah and in jerusalem  ^ 2
which were written in  ^ 2
the abominations that  ^ 2
was there no  ^ 2
there no king  ^ 2
turned to  ^ 2
his anger was kindled  ^ 2
notwithstanding the lord  ^ 2
the lord turned  ^ 2
my sight as  ^ 2
went against  ^ 2
book and all  ^ 2
of josiah his father  ^ 2
whom the kings  ^ 2
of the children of the people  ^ 2
without jerusalem  ^ 2
to beersheba  ^ 2
in jerusalem but  ^ 2
and the city was besieged  ^ 2
of babylon took  ^ 2
of judah went out  ^ 2
of babylon he  ^ 2
the vessels of gold  ^ 2
solomon king  ^ 2
and he carried away all  ^ 2
to babylon and all  ^ 2
a thousand all  ^ 2
that jehoiakim  ^ 2
jehoiakim had done  ^ 2
had done for  ^ 2
he had cast them out from  ^ 2
from his presence  ^ 2
his presence that zedekiah  ^ 2
that zedekiah rebelled  ^ 2
through the anger  ^ 2
it came to pass in jerusalem  ^ 2
in jerusalem and judah  ^ 2
from the river of egypt  ^ 2
euphrates all  ^ 2
that pertained  ^ 2
again any more  ^ 2
and all his host  ^ 2
jerusalem and pitched  ^ 2
and pitched against  ^ 2
and it came to pass in the ninth  ^ 2
of his reign in the tenth  ^ 2
day of the month that nebuchadnezzar  ^ 2
he with fire and all  ^ 2
and all the army  ^ 2
that were with the captain  ^ 2
were with the captain of the guard  ^ 2
of the guard broke down  ^ 2
left of the poor  ^ 2
was in the house of the lord  ^ 2
the brass of them to babylon  ^ 2
of brass that  ^ 2
that were in the house  ^ 2
of the lord and the bases  ^ 2
and the bases and the brazen  ^ 2
and the brazen sea  ^ 2
sea that  ^ 2
they ministered took they away  ^ 2
and the spoons and all  ^ 2
the vessels of brass  ^ 2
of brass wherewith  ^ 2
wherewith they ministered  ^ 2
and the firepans and the bowls  ^ 2
of the lord the brass  ^ 2
the brass of all  ^ 2
vessels was  ^ 2
pillars one  ^ 2
and pomegranates upon  ^ 2
all of brass  ^ 2
pillar was eighteen  ^ 2
was eighteen cubits  ^ 2
priest and the three  ^ 2
and the three keepers  ^ 2
keepers of the door  ^ 2
took seraiah  ^ 2
seraiah the chief  ^ 2
priest and zephaniah  ^ 2
and zephaniah the second  ^ 2
the second priest  ^ 2
which were found  ^ 2
were found in the city  ^ 2
in the city and the principal  ^ 2
and the principal scribe  ^ 2
scribe of the host  ^ 2
of the land and threescore  ^ 2
men of the people  ^ 2
of the land that were found  ^ 2
over the men  ^ 2
was besieged unto  ^ 2
unto the eleventh  ^ 2
the eleventh year  ^ 2
of king zedekiah  ^ 2
to riblah and the king  ^ 2
out of their land  ^ 2
smote them and slew  ^ 2
of babylon had left  ^ 2
of babylon had made  ^ 2
had made gedaliah  ^ 2
to mizpah even ishmael  ^ 2
even ishmael the son  ^ 2
of nethaniah and johanan  ^ 2
the son of tanhumeth  ^ 2
the son of a maachathite  ^ 2
of a maachathite they  ^ 2
and their men heard  ^ 2
and their men and gedaliah  ^ 2
in the land and serve  ^ 2
and serve the king  ^ 2
of babylon and it shall be well  ^ 2
of the seed royal  ^ 2
with him and smote  ^ 2
him and smote gedaliah  ^ 2
month that ishmael  ^ 2
the son of elishama  ^ 2
of elishama of the seed  ^ 2
for they were afraid  ^ 2
they were afraid of  ^ 2
month on the seven  ^ 2
on the seven and twentieth  ^ 2
day of the month that evilmerodach  ^ 2
that evilmerodach king  ^ 2
the head of jehoiachin  ^ 2
in the seven and thirtieth  ^ 2
year of the captivity  ^ 2
of the captivity of jehoiachin  ^ 2
of judah in the twelfth  ^ 2
were with him in babylon  ^ 2
him and set his throne  ^ 2
his throne above  ^ 2
above the throne  ^ 2
of the kings that  ^ 2
him in babylon and changed  ^ 2
and changed his prison  ^ 2
his prison garments  ^ 2
for the people of the land  ^ 2
the famine prevailed  ^ 2
bread for the people  ^ 2
given him of  ^ 2
him of the king  ^ 2
the kings garden  ^ 2
of the gate between  ^ 2
the king and overtook  ^ 2
of jericho and all  ^ 2
of zedekiah before his eyes  ^ 2
the eyes of zedekiah  ^ 2
and bound him with fetters of brass  ^ 2
came nebuzaradan  ^ 2
nebuzaradan captain  ^ 2
of babylon unto jerusalem  ^ 2
and in the fifth month  ^ 2
kings together to deliver  ^ 2
together to deliver them into the hand  ^ 2
them into the hand of moab  ^ 2
hath called these  ^ 2
and the king of edom  ^ 2
of israel what  ^ 2
valley shall be filled  ^ 2
good tree  ^ 2
wells of water  ^ 2
every fenced  ^ 2
of baal that  ^ 2
in the border  ^ 2
and they rose up early in the morning  ^ 2
upon the water  ^ 2
the wells of water  ^ 2
good piece  ^ 2
and there was great  ^ 2
and they departed from  ^ 2
his eldest son  ^ 2
and it fell on a day  ^ 2
to gehazi  ^ 2
gehazi his servant  ^ 2
call this  ^ 2
this shunammite  ^ 2
or to  ^ 2
and she answered i  ^ 2
now unto  ^ 2
unto her behold  ^ 2
us with all  ^ 2
answered verily  ^ 2
nay my lord  ^ 2
a son and she said  ^ 2
at that season  ^ 2
that elisha  ^ 2
to the reapers  ^ 2
unto her what  ^ 2
and laid him on  ^ 2
unto her husband  ^ 2
her husband and said  ^ 2
wherefore wilt thou  ^ 2
slack not  ^ 2
of god saw  ^ 2
now i pray thee  ^ 2
said let her alone  ^ 2
and when she came to  ^ 2
to the hill  ^ 2
of my lord  ^ 2
if thou meet  ^ 2
the face of the child  ^ 2
gird up thy loins  ^ 2
thy loins and take  ^ 2
the child is not  ^ 2
was come into the house  ^ 2
and laid upon  ^ 2
upon his eyes  ^ 2
opened his eyes  ^ 2
before him and he said  ^ 2
upon thee and upon  ^ 2
cried out and said  ^ 2
and he cast it into  ^ 2
thou and thy children  ^ 2
of elisha and elisha  ^ 2
better than all  ^ 2
came near and spoke  ^ 2
him and he said behold  ^ 2
and he returned to  ^ 2
in israel now  ^ 2
and all his company  ^ 2
and came and stood  ^ 2
and naaman said  ^ 2
in the house of rimmon  ^ 2
the lord pardon  ^ 2
pardon thy servant  ^ 2
unto him go in peace  ^ 2
so he departed from  ^ 2
somewhat of  ^ 2
behold my master  ^ 2
followed after  ^ 2
changes of garments  ^ 2
them upon two  ^ 2
said be content  ^ 2
the men go  ^ 2
and oxen and menservants  ^ 2
and thus said  ^ 2
and took with  ^ 2
a letter unto  ^ 2
now when this  ^ 2
how he  ^ 2
his clothes and said  ^ 2
and said am i  ^ 2
and stood at the door  ^ 2
at the door of the house  ^ 2
there not  ^ 2
of israel and one  ^ 2
of israel the words  ^ 2
and one of his servants  ^ 2
and compassed the city  ^ 2
compassed the city  ^ 2
whom ye seek  ^ 2
unto jordan  ^ 2
open the eyes  ^ 2
the eyes of these  ^ 2
bread and water  ^ 2
to their master  ^ 2
out of the winepress  ^ 2
thy son that we may eat  ^ 2
unto her what aileth thee and she answered  ^ 2
be content i pray thee  ^ 2
when the king heard  ^ 2
the messenger came  ^ 2
to the elders  ^ 2
this son  ^ 2
feet behind  ^ 2
sat with  ^ 2
and he cried and said  ^ 2
fell into  ^ 2
him the place  ^ 2
such and such a place  ^ 2
with his servants  ^ 2
and two measures of barley  ^ 2
in the gate of samaria  ^ 2
the lord tomorrow  ^ 2
the camp of the syrians  ^ 2
unto the porter  ^ 2
of the camp  ^ 2
when they come out  ^ 2
they come out of  ^ 2
of the israelites that  ^ 2
five of  ^ 2
of the horses  ^ 2
go and see  ^ 2
and the messengers returned  ^ 2
returned and told  ^ 2
and told the king  ^ 2
and they went after  ^ 2
and lo all  ^ 2
all the way  ^ 2
trod upon him in the gate  ^ 2
him in the gate and he died  ^ 2
and he died as  ^ 2
who spoke  ^ 2
and the king appointed  ^ 2
on whose  ^ 2
as the man of god  ^ 2
windows in heaven  ^ 2
be and he said  ^ 2
thou shalt see it with thine eyes  ^ 2
it with thine eyes but shalt not  ^ 2
but shalt not eat  ^ 2
answered the man  ^ 2
thing be  ^ 2
unto the host  ^ 2
the uttermost part of the camp  ^ 2
and when they were come to  ^ 2
for their life  ^ 2
and carried thence  ^ 2
and went and hid  ^ 2
into another  ^ 2
till the morning  ^ 2
the kings household  ^ 2
another we  ^ 2
we do  ^ 2
not well  ^ 2
well this  ^ 2
thou and thine household  ^ 2
son he had restored to life  ^ 2
that thou wilt do  ^ 2
and hazael said  ^ 2
because i know  ^ 2
the lord hath showed  ^ 2
said but  ^ 2
what is thy servant  ^ 2
he should do this  ^ 2
and in the fifth year  ^ 2
for the daughter  ^ 2
and all the chariots  ^ 2
with him and he  ^ 2
joram the son  ^ 2
the syrians had given  ^ 2
to see joram  ^ 2
in jezreel of  ^ 2
of the wounds  ^ 2
her house and for  ^ 2
and for her land  ^ 2
the king how  ^ 2
him saying the man  ^ 2
is come hither  ^ 2
shall i recover of this disease  ^ 2
before him and said  ^ 2
called one  ^ 2
one of the children  ^ 2
them ye know  ^ 2
know the man  ^ 2
to the servants  ^ 2
the lord i have anointed  ^ 2
tell us now  ^ 2
and put it under  ^ 2
israel because  ^ 2
of jehoshaphat the son  ^ 2
and ahaziah king  ^ 2
and joram said  ^ 2
what hast thou to do with peace  ^ 2
hast thou to do with peace turn  ^ 2
turn thee behind  ^ 2
told saying  ^ 2
the king is it peace  ^ 2
is it peace and jehu  ^ 2
to them and said  ^ 2
them and said thus  ^ 2
from among his brethren  ^ 2
upon surely  ^ 2
of judah saw  ^ 2
of oil and pour  ^ 2
her for she  ^ 2
say this  ^ 2
as dung upon  ^ 2
unto which  ^ 2
to thee o captain  ^ 2
and he arose and went  ^ 2
of my servants the prophets  ^ 2
for the whole house  ^ 2
through the righteousness  ^ 2
sins wherefore  ^ 2
for if ye do  ^ 2
calling and  ^ 2
as long as i am  ^ 2
hath showed me  ^ 2
in remembrance for  ^ 2
for we have not  ^ 2
a voice to him  ^ 2
this voice  ^ 2
we heard  ^ 2
arise in  ^ 2
ye do well  ^ 2
this first  ^ 2
holy men  ^ 2
and godliness  ^ 2
according as his  ^ 2
that is in the world  ^ 2
the world through  ^ 2
exceeding great and  ^ 2
lust and  ^ 2
virtue and  ^ 2
all diligence  ^ 2
add to  ^ 2
temperance and  ^ 2
be in you  ^ 2
ghost but  ^ 2
but there were  ^ 2
in power and  ^ 2
brute beasts  ^ 2
having eyes  ^ 2
following the  ^ 2
speaking with  ^ 2
through the lusts  ^ 2
of corruption for  ^ 2
the knowledge of the  ^ 2
world through  ^ 2
delivered unto them  ^ 2
to be reserved unto  ^ 2
unto judgment  ^ 2
god spared  ^ 2
not the old  ^ 2
wicked for  ^ 2
this second  ^ 2
the which the  ^ 2
and the elements  ^ 2
the elements shall melt  ^ 2
shall melt with fervent heat  ^ 2
day of god  ^ 2
a new earth  ^ 2
earth wherein  ^ 2
new heavens  ^ 2
heavens and  ^ 2
and a new  ^ 2
our beloved  ^ 2
beloved brother  ^ 2
to the wisdom  ^ 2
given unto him  ^ 2
even as our  ^ 2
their own  ^ 2
them of  ^ 2
beware lest  ^ 2
the error  ^ 2
both now  ^ 2
and forever  ^ 2
apostles of the  ^ 2
words which were spoken before  ^ 2
walking after  ^ 2
of his coming  ^ 2
that by the  ^ 2
of judgment and  ^ 2
is with the lord  ^ 2
to usward  ^ 2
not willing  ^ 2
should come to  ^ 2
was upon his head  ^ 2
saul and for  ^ 2
the young man that told  ^ 2
one of the young men  ^ 2
for thy mouth  ^ 2
lamentation over  ^ 2
over saul  ^ 2
the book of jasher  ^ 2
behold it is written  ^ 2
the beauty of israel  ^ 2
rent and earth  ^ 2
lest the daughters  ^ 2
not empty  ^ 2
comest thou and he said  ^ 2
the people also  ^ 2
knowest thou that  ^ 2
behold saul  ^ 2
they were smitten before  ^ 2
for his father  ^ 2
into the land of the children  ^ 2
unto thee to  ^ 2
and the syrians of zoba  ^ 2
and his servants with  ^ 2
unto thine house  ^ 2
into mine house  ^ 2
not down to  ^ 2
down to his house  ^ 2
wrote a letter  ^ 2
of the servants of david  ^ 2
of the city went out  ^ 2
and told david  ^ 2
david all  ^ 2
upon the roof  ^ 2
and if so be  ^ 2
a piece of a millstone  ^ 2
of a millstone upon  ^ 2
the hittite is dead  ^ 2
