Phrase ^ Count
saith the lord  ^ 731
have digged and drunk  ^ 2
and with the sole of my feet  ^ 2
of my feet have i dried up  ^ 2
have i dried up all  ^ 2
that thou shouldest be to lay waste  ^ 2
cities into ruinous  ^ 2
into ruinous heaps  ^ 2
heard long ago  ^ 2
long ago how i have done  ^ 2
that i have formed it now  ^ 2
it now have i brought it to pass  ^ 2
have i brought it to pass that thou shouldest be  ^ 2
heaps therefore their inhabitants  ^ 2
and as the green herb  ^ 2
herb as the grass  ^ 2
as the grass on the housetops  ^ 2
on the housetops and as corn blasted  ^ 2
and as corn blasted before  ^ 2
before it be grown up  ^ 2
therefore their inhabitants were of small  ^ 2
were of small power  ^ 2
power they were dismayed  ^ 2
they were dismayed and confounded  ^ 2
and confounded they were  ^ 2
they were as the grass  ^ 2
as the grass of the field  ^ 2
of the field and as the green  ^ 2
it be grown up but i know  ^ 2
but i know thy abode  ^ 2
thy abode and thy going out  ^ 2
and thy coming in and thy rage  ^ 2
and thy rage against  ^ 2
against because  ^ 2
in thy nose and my bridle  ^ 2
and my bridle in thy lips  ^ 2
in thy lips and i will turn thee back  ^ 2
and i will turn thee back by the way  ^ 2
by the way by which  ^ 2
by which thou camest  ^ 2
because thy rage  ^ 2
thy rage against  ^ 2
against me and thy tumult  ^ 2
me and thy tumult is come up  ^ 2
is come up into mine ears  ^ 2
my hook in thy nose  ^ 2
thou camest and this  ^ 2
and in the third year  ^ 2
year sow  ^ 2
sow ye and reap  ^ 2
ye and reap and plant  ^ 2
shall be a sign unto thee ye shall eat  ^ 2
unto thee ye shall eat this year  ^ 2
and in the second year  ^ 2
year that which springeth of the same  ^ 2
that which springeth of the same and in the third  ^ 2
of amoz and they said  ^ 2
of trouble and of rebuke  ^ 2
the children are come  ^ 2
are come to  ^ 2
to the birth  ^ 2
the birth and there is not  ^ 2
and there is not strength  ^ 2
strength to bring forth  ^ 2
saith hezekiah  ^ 2
hezekiah this  ^ 2
is a day of trouble  ^ 2
fruit upward  ^ 2
and the remnant that is escaped  ^ 2
that is escaped of the house  ^ 2
take root downward  ^ 2
downward and bear  ^ 2
upward for  ^ 2
for out of jerusalem  ^ 2
out of jerusalem shall go forth  ^ 2
shall go forth a remnant  ^ 2
a remnant and they that escape  ^ 2
and they that escape out of mount  ^ 2
out of mount zion  ^ 2
zion the zeal  ^ 2
this therefore  ^ 2
city nor  ^ 2
nor shoot  ^ 2
shoot an arrow  ^ 2
an arrow there  ^ 2
nor come before  ^ 2
nor cast  ^ 2
cast a bank  ^ 2
concerning the king  ^ 2
of assyria he shall not  ^ 2
against by the way  ^ 2
city saith  ^ 2
he came by the same shall he return  ^ 2
by the same shall he return and shall not  ^ 2
and shall not come  ^ 2
the lord for i will defend  ^ 2
for i will defend this  ^ 2
city to save  ^ 2
to save it for mine own sake  ^ 2
it for mine own sake and for my servant  ^ 2
of the assyrians a hundred  ^ 2
a hundred fourscore  ^ 2
thousand and when they arose early  ^ 2
and when they arose early in the morning  ^ 2
behold they were all  ^ 2
they were all dead  ^ 2
dead corpses  ^ 2
that the angel of the lord  ^ 2
of the lord went out  ^ 2
and smote in the camp  ^ 2
in the camp of the assyrians  ^ 2
corpses so sennacherib  ^ 2
so sennacherib king  ^ 2
of assyria departed  ^ 2
and returned and dwelt  ^ 2
and dwelt at nineveh  ^ 2
at nineveh and it came to pass  ^ 2
his sons smote  ^ 2
smote him with the sword  ^ 2
him with the sword and they  ^ 2
and they escaped  ^ 2
escaped into the land  ^ 2
into the land of armenia  ^ 2
of armenia and esarhaddon  ^ 2
and esarhaddon his son  ^ 2
as he was worshiping  ^ 2
was worshiping in the house  ^ 2
in the house of nisroch  ^ 2
of nisroch his god  ^ 2
his god that adrammelech  ^ 2
that adrammelech and sharezer  ^ 2
and sharezer his sons  ^ 2
to bring forth it may be  ^ 2
of assyria his master  ^ 2
his master hath sent  ^ 2
god and will reprove  ^ 2
and will reprove the words  ^ 2
it may be the lord  ^ 2
thy god hath heard  ^ 2
hath heard wherefore lift up  ^ 2
wherefore lift up thy prayer  ^ 2
thy prayer for  ^ 2
for the remnant  ^ 2
thy god will hear  ^ 2
will hear all  ^ 2
of rabshakeh whom  ^ 2
so the servants of king  ^ 2
hezekiah came  ^ 2
isaiah and isaiah  ^ 2
the lord be not afraid  ^ 2
the servants of the king  ^ 2
of assyria have blasphemed  ^ 2
your master thus  ^ 2
have blasphemed behold  ^ 2
by the sword in his own land  ^ 2
i will send a blast  ^ 2
a blast upon him and he shall hear  ^ 2
upon him and he shall hear a rumor  ^ 2
and i will cause him to fall by the sword  ^ 2
in his own land so rabshakeh  ^ 2
that he was departed  ^ 2
he was departed from lachish  ^ 2
so rabshakeh returned  ^ 2
returned and found  ^ 2
and found the king  ^ 2
of assyria warring  ^ 2
warring against  ^ 2
libnah for  ^ 2
say of  ^ 2
tirhakah king  ^ 2
king of ethiopia  ^ 2
and stood by  ^ 2
the mantle of elijah  ^ 2
of elijah that  ^ 2
fell from  ^ 2
where is the lord  ^ 2
is the lord god  ^ 2
hither and thither  ^ 2
of the prophets which  ^ 2
elisha behold  ^ 2
hath sent me to  ^ 2
here i pray thee  ^ 2
and they brought it to  ^ 2
these waters  ^ 2
and he went up from thence  ^ 2
from thence to  ^ 2
him knowest thou that  ^ 2
thou that the lord  ^ 2
will take away thy master  ^ 2
thy master from  ^ 2
from thy head  ^ 2
thy head today  ^ 2
know it  hold ye your peace  ^ 2
to elisha  ^ 2
elisha and said  ^ 2
it  hold ye your peace and elijah  ^ 2
and smote the waters  ^ 2
in his stead in those  ^ 2
the lord set thine house in order  ^ 2
set thine house in order for  ^ 2
shalt die and not  ^ 2
and not live  ^ 2
days was hezekiah sick  ^ 2
was hezekiah sick unto death  ^ 2
of amoz came  ^ 2
degrees backward  ^ 2
and isaiah the prophet  ^ 2
letters and a present  ^ 2
the son of baladan  ^ 2
of baladan king  ^ 2
of babylon sent  ^ 2
and the gold and the spices  ^ 2
and the spices and the precious  ^ 2
and the precious ointment  ^ 2
of his armor and all  ^ 2
that was found  ^ 2
was found in his treasures  ^ 2
in his treasures there was  ^ 2
there was nothing  ^ 2
nothing in his house  ^ 2
in his house nor in all  ^ 2
nor in all his dominion  ^ 2
his dominion that  ^ 2
hezekiah showed  ^ 2
showed them not  ^ 2
them and showed them  ^ 2
the house of his precious things  ^ 2
of his precious things the silver  ^ 2
them not then came  ^ 2
him what said  ^ 2
men and from whence  ^ 2
and from whence came  ^ 2
came they unto  ^ 2
they unto thee and hezekiah  ^ 2
thee and hezekiah said  ^ 2
said they are come  ^ 2
then came isaiah  ^ 2
hezekiah and said  ^ 2
have they seen there is  ^ 2
nothing among my treasures  ^ 2
among my treasures that  ^ 2
i have not showed  ^ 2
have they seen in thine house  ^ 2
in thine house and hezekiah  ^ 2
hezekiah hear  ^ 2
day shall be carried  ^ 2
nothing shall be left  ^ 2
shall be left saith  ^ 2
come that all  ^ 2
that is in thine house  ^ 2
is in thine house and that which  ^ 2
and that which thy fathers  ^ 2
thy fathers have laid up in store  ^ 2
the lord and of thy sons  ^ 2
eunuchs in the palace  ^ 2
in the palace of the king  ^ 2
and of thy sons that  ^ 2
that shall issue  ^ 2
shall issue from  ^ 2
thee which thou shalt beget  ^ 2
thou shalt beget shall they take away  ^ 2
shall they take away and they shall be  ^ 2
and they shall be eunuchs  ^ 2
of babylon then said  ^ 2
peace and truth  ^ 2
then said hezekiah  ^ 2
isaiah good  ^ 2
good is the word  ^ 2
his face to  ^ 2
the wall and prayed  ^ 2
heart and have done  ^ 2
and have done that which is good  ^ 2
that which is good in thy sight  ^ 2
in thy sight and hezekiah  ^ 2
and hezekiah wept  ^ 2
wept sore  ^ 2
how i have walked  ^ 2
i have walked before  ^ 2
thee in truth and with a perfect  ^ 2
and it came to pass before  ^ 2
the god of david  ^ 2
thy father i have heard  ^ 2
i have heard thy prayer  ^ 2
thy prayer i have seen  ^ 2
i have seen thy tears  ^ 2
thy tears behold  ^ 2
of assyria and i will defend  ^ 2
and i will defend this  ^ 2
unto thy days  ^ 2
thy days fifteen  ^ 2
years and i will deliver  ^ 2
and i will deliver thee and this  ^ 2
thee and this city  ^ 2
city out of the hand  ^ 2
a lump of figs  ^ 2
and laid it on  ^ 2
by his servants  ^ 2
his ears shall tingle  ^ 2
their enemies because  ^ 2
shed innocent  ^ 2
in the garden of uzza  ^ 2
as his father  ^ 2
the way that  ^ 2
and walked not  ^ 2
not in the way  ^ 2
only if  ^ 2
my servant moses  ^ 2
the lord destroyed  ^ 2
thirty and one  ^ 2
the son of michaiah  ^ 2
the priest and ahikam  ^ 2
the son of tikvah  ^ 2
and they communed with  ^ 2
of the book which  ^ 2
the keepers of the door  ^ 2
go up to  ^ 2
of the work which  ^ 2
is in the house of the lord  ^ 2
that have the oversight of the house  ^ 2
of judah and of jerusalem  ^ 2
or his daughter to pass through  ^ 2
which is in the valley  ^ 2
and stamped it small to powder  ^ 2
and took the bones  ^ 2
the bones out of  ^ 2
it according to the word of the lord  ^ 2
things that  ^ 2
of israel had made  ^ 2
of the high places that  ^ 2
the people both small  ^ 2
to jerusalem and the king  ^ 2
saying keep  ^ 2
keep the passover  ^ 2
that judged  ^ 2
of judah and in jerusalem  ^ 2
which were written in  ^ 2
the abominations that  ^ 2
was there no  ^ 2
there no king  ^ 2
turned to  ^ 2
his anger was kindled  ^ 2
my sight as  ^ 2
went against  ^ 2
the people stood  ^ 2
of josiah his father  ^ 2
of the children of the people  ^ 2
without jerusalem  ^ 2
to beersheba  ^ 2
and the city was besieged  ^ 2
of babylon took  ^ 2
of judah went out  ^ 2
of babylon he  ^ 2
the vessels of gold  ^ 2
solomon king  ^ 2
and he carried away all  ^ 2
to babylon and all  ^ 2
a thousand all  ^ 2
that jehoiakim  ^ 2
jehoiakim had done  ^ 2
had done for  ^ 2
he had cast them out from  ^ 2
from his presence  ^ 2
his presence that zedekiah  ^ 2
that zedekiah rebelled  ^ 2
against the king of babylon  ^ 2
through the anger  ^ 2
it came to pass in jerusalem  ^ 2
in jerusalem and judah  ^ 2
from the river of egypt  ^ 2
euphrates all  ^ 2
that pertained  ^ 2
again any more  ^ 2
that nebuchadnezzar king  ^ 2
and all his host  ^ 2
jerusalem and pitched  ^ 2
and pitched against  ^ 2
and it came to pass in the ninth  ^ 2
of his reign in the tenth  ^ 2
day of the month that nebuchadnezzar  ^ 2
he with fire and all  ^ 2
and all the army  ^ 2
of the guard broke down  ^ 2
left of the poor  ^ 2
was in the house of the lord  ^ 2
the brass of them to babylon  ^ 2
of brass that  ^ 2
that were in the house  ^ 2
of the lord and the bases  ^ 2
and the bases and the brazen  ^ 2
and the brazen sea  ^ 2
sea that  ^ 2
they ministered took they away  ^ 2
and the spoons and all  ^ 2
the vessels of brass  ^ 2
of brass wherewith  ^ 2
wherewith they ministered  ^ 2
and the firepans and the bowls  ^ 2
of the lord the brass  ^ 2
the brass of all  ^ 2
vessels was  ^ 2
pillars one  ^ 2
and pomegranates upon  ^ 2
all of brass  ^ 2
pillar was eighteen  ^ 2
was eighteen cubits  ^ 2
priest and the three  ^ 2
and the three keepers  ^ 2
keepers of the door  ^ 2
took seraiah  ^ 2
seraiah the chief  ^ 2
priest and zephaniah  ^ 2
and zephaniah the second  ^ 2
the second priest  ^ 2
which were found  ^ 2
were found in the city  ^ 2
in the city and the principal  ^ 2
and the principal scribe  ^ 2
scribe of the host  ^ 2
of the land and threescore  ^ 2
men of the people  ^ 2
of the land that were found  ^ 2
over the men  ^ 2
was besieged unto  ^ 2
unto the eleventh  ^ 2
the eleventh year  ^ 2
of king zedekiah  ^ 2
to riblah and the king  ^ 2
out of their land  ^ 2
smote them and slew  ^ 2
of babylon had left  ^ 2
of babylon had made  ^ 2
had made gedaliah  ^ 2
to mizpah even ishmael  ^ 2
even ishmael the son  ^ 2
of nethaniah and johanan  ^ 2
the son of tanhumeth  ^ 2
the son of a maachathite  ^ 2
of a maachathite they  ^ 2
and their men heard  ^ 2
and their men and gedaliah  ^ 2
in the land and serve  ^ 2
and serve the king  ^ 2
of babylon and it shall be well  ^ 2
of the seed royal  ^ 2
with him and smote  ^ 2
him and smote gedaliah  ^ 2
month that ishmael  ^ 2
the son of elishama  ^ 2
of elishama of the seed  ^ 2
for they were afraid  ^ 2
they were afraid of  ^ 2
month on the seven  ^ 2
on the seven and twentieth  ^ 2
day of the month that evilmerodach  ^ 2
that evilmerodach king  ^ 2
the head of jehoiachin  ^ 2
in the seven and thirtieth  ^ 2
year of the captivity  ^ 2
of the captivity of jehoiachin  ^ 2
of judah in the twelfth  ^ 2
were with him in babylon  ^ 2
him and set his throne  ^ 2
his throne above  ^ 2
above the throne  ^ 2
of the kings that  ^ 2
him in babylon and changed  ^ 2
and changed his prison  ^ 2
his prison garments  ^ 2
for the people of the land  ^ 2
the famine prevailed  ^ 2
bread for the people  ^ 2
given him of  ^ 2
him of the king  ^ 2
the kings garden  ^ 2
of the gate between  ^ 2
the king and overtook  ^ 2
of jericho and all  ^ 2
of zedekiah before his eyes  ^ 2
the eyes of zedekiah  ^ 2
and bound him with fetters of brass  ^ 2
came nebuzaradan  ^ 2
nebuzaradan captain  ^ 2
of babylon unto jerusalem  ^ 2
and in the fifth month  ^ 2
kings together to deliver  ^ 2
together to deliver them into the hand  ^ 2
them into the hand of moab  ^ 2
hath called these  ^ 2
the lord by  ^ 2
and the king of edom  ^ 2
of israel what  ^ 2
valley shall be filled  ^ 2
good tree  ^ 2
wells of water  ^ 2
every fenced  ^ 2
of baal that  ^ 2
and stood in  ^ 2
in the border  ^ 2
and they rose up early in the morning  ^ 2
upon the water  ^ 2
the wells of water  ^ 2
good piece  ^ 2
and they departed from  ^ 2
his eldest son  ^ 2
my two sons  ^ 2
and it fell on a day  ^ 2
to gehazi  ^ 2
gehazi his servant  ^ 2
call this  ^ 2
this shunammite  ^ 2
or to  ^ 2
and she answered i  ^ 2
now unto  ^ 2
unto her behold  ^ 2
answered verily  ^ 2
nay my lord  ^ 2
a son and she said  ^ 2
that elisha  ^ 2
to the reapers  ^ 2
him to his mother  ^ 2
unto her what  ^ 2
him and brought him to  ^ 2
and laid him on  ^ 2
unto her husband  ^ 2
her husband and said  ^ 2
wherefore wilt thou  ^ 2
slack not  ^ 2
of god saw  ^ 2
now i pray thee  ^ 2
said let her alone  ^ 2
and when she came to  ^ 2
to the hill  ^ 2
of my lord  ^ 2
if thou meet  ^ 2
the face of the child  ^ 2
gird up thy loins  ^ 2
thy loins and take  ^ 2
the child is not  ^ 2
and laid upon  ^ 2
before him and he said  ^ 2
upon thee and upon  ^ 2
and they could not  ^ 2
cried out and said  ^ 2
and he cast it into  ^ 2
thou and thy children  ^ 2
of elisha and elisha  ^ 2
better than all  ^ 2
came near and spoke  ^ 2
him and he said behold  ^ 2
and he returned to  ^ 2
in israel now  ^ 2
and all his company  ^ 2
and came and stood  ^ 2
and naaman said  ^ 2
in the house of rimmon  ^ 2
the lord pardon  ^ 2
pardon thy servant  ^ 2
unto him go in peace  ^ 2
so he departed from  ^ 2
somewhat of  ^ 2
behold my master  ^ 2
followed after  ^ 2
changes of garments  ^ 2
them upon two  ^ 2
said be content  ^ 2
the men go  ^ 2
and oxen and menservants  ^ 2
and thus said  ^ 2
and took with  ^ 2
a letter unto  ^ 2
now when this  ^ 2
how he  ^ 2
his clothes and said  ^ 2
and said am i  ^ 2
and stood at the door  ^ 2
at the door of the house  ^ 2
there not  ^ 2
of israel and one  ^ 2
of israel the words  ^ 2
and one of his servants  ^ 2
and compassed the city  ^ 2
horses and chariots  ^ 2
compassed the city  ^ 2
unto jordan  ^ 2
open the eyes  ^ 2
the eyes of these  ^ 2
bread and water  ^ 2
to their master  ^ 2
thy son that we may eat  ^ 2
unto her what aileth thee and she answered  ^ 2
be content i pray thee  ^ 2
the messenger came  ^ 2
to the elders  ^ 2
this son  ^ 2
feet behind  ^ 2
sat with  ^ 2
and he cried and said  ^ 2
fell into  ^ 2
with his servants  ^ 2
and two measures of barley  ^ 2
in the gate of samaria  ^ 2
the lord tomorrow  ^ 2
the camp of the syrians  ^ 2
unto the porter  ^ 2
of the camp  ^ 2
when they come out  ^ 2
they come out of  ^ 2
of the israelites that  ^ 2
five of  ^ 2
of the horses  ^ 2
and the messengers returned  ^ 2
returned and told  ^ 2
and told the king  ^ 2
and lo all  ^ 2
all the way  ^ 2
trod upon him in the gate  ^ 2
him in the gate and he died  ^ 2
and he died as  ^ 2
who spoke  ^ 2
and the king appointed  ^ 2
on whose  ^ 2
windows in heaven  ^ 2
be and he said  ^ 2
thou shalt see it with thine eyes  ^ 2
it with thine eyes but shalt not  ^ 2
but shalt not eat  ^ 2
answered the man  ^ 2
thing be  ^ 2
unto the host  ^ 2
the uttermost part of the camp  ^ 2
for their life  ^ 2
and carried thence  ^ 2
and went and hid  ^ 2
into another  ^ 2
till the morning  ^ 2
the kings household  ^ 2
another we  ^ 2
we do  ^ 2
not well  ^ 2
well this  ^ 2
thou and thine household  ^ 2
son he had restored to life  ^ 2
that thou wilt do  ^ 2
and hazael said  ^ 2
the lord hath showed  ^ 2
said but  ^ 2
what is thy servant  ^ 2
he should do this  ^ 2
and in the fifth year  ^ 2
for the daughter  ^ 2
and all the chariots  ^ 2
with him and he  ^ 2
joram the son  ^ 2
the syrians had given  ^ 2
to see joram  ^ 2
in jezreel of  ^ 2
of the wounds  ^ 2
years and it came to pass  ^ 2
her house and for  ^ 2
and for her land  ^ 2
the king how  ^ 2
him saying the man  ^ 2
is come hither  ^ 2
shall i recover of this disease  ^ 2
before him and said  ^ 2
called one  ^ 2
one of the children  ^ 2
to the servants  ^ 2
the lord i have anointed  ^ 2
tell us now  ^ 2
and put it under  ^ 2
israel because  ^ 2
of jehoshaphat the son  ^ 2
and ahaziah king  ^ 2
and joram said  ^ 2
what hast thou to do with peace  ^ 2
hast thou to do with peace turn  ^ 2
turn thee behind  ^ 2
told saying  ^ 2
the king is it peace  ^ 2
is it peace and jehu  ^ 2
which came to  ^ 2
them and said thus  ^ 2
from among his brethren  ^ 2
upon surely  ^ 2
of judah saw  ^ 2
of oil and pour  ^ 2
her for she  ^ 2
say this  ^ 2
as dung upon  ^ 2
unto which  ^ 2
to thee o captain  ^ 2
and he arose and went  ^ 2
on his head  ^ 2
of my servants the prophets  ^ 2
for the whole house  ^ 2
through the righteousness  ^ 2
sins wherefore  ^ 2
calling and  ^ 2
as long as i am  ^ 2
hath showed me  ^ 2
in remembrance for  ^ 2
this voice  ^ 2
we heard  ^ 2
arise in  ^ 2
ye do well  ^ 2
through the knowledge  ^ 2
the knowledge of god  ^ 2
this first  ^ 2
holy men  ^ 2
and godliness  ^ 2
according as his  ^ 2
lust and  ^ 2
virtue and  ^ 2
all diligence  ^ 2
add to  ^ 2
temperance and  ^ 2
be in you  ^ 2
ghost but  ^ 2
but there were  ^ 2
brute beasts  ^ 2
having eyes  ^ 2
following the  ^ 2
speaking with  ^ 2
of corruption for  ^ 2
world through  ^ 2
delivered unto them  ^ 2
unto judgment  ^ 2
god spared  ^ 2
not the old  ^ 2
wicked for  ^ 2
this second  ^ 2
the which the  ^ 2
and the elements  ^ 2
the elements shall melt  ^ 2
shall melt with fervent heat  ^ 2
day of god  ^ 2
a new earth  ^ 2
earth wherein  ^ 2
new heavens  ^ 2
heavens and  ^ 2
and a new  ^ 2
our beloved  ^ 2
beloved brother  ^ 2
to the wisdom  ^ 2
given unto him  ^ 2
their own  ^ 2
them of  ^ 2
beware lest  ^ 2
the error  ^ 2
both now  ^ 2
and forever  ^ 2
apostles of the  ^ 2
words which were spoken before  ^ 2
walking after  ^ 2
of his coming  ^ 2
against the day  ^ 2
of judgment and  ^ 2
by the same  ^ 2
is with the lord  ^ 2
to usward  ^ 2
not willing  ^ 2
should come to  ^ 2
was upon his head  ^ 2
saul and for  ^ 2
the young man that told  ^ 2
for thy mouth  ^ 2
lamentation over  ^ 2
over saul  ^ 2
the book of jasher  ^ 2
behold it is written  ^ 2
the beauty of israel  ^ 2
rent and earth  ^ 2
lest the daughters  ^ 2
not empty  ^ 2
comest thou and he said  ^ 2
thou and he said unto  ^ 2
and many of  ^ 2
knowest thou that  ^ 2
behold saul  ^ 2
they were smitten before  ^ 2
for his father  ^ 2
unto thee to  ^ 2
and the syrians of zoba  ^ 2
and his servants with  ^ 2
into mine house  ^ 2
not down to  ^ 2
down to his house  ^ 2
of the servants of david  ^ 2
of the city went out  ^ 2
and told david  ^ 2
david all  ^ 2
upon the roof  ^ 2
a piece of a millstone  ^ 2
of a millstone upon  ^ 2
the hittite is dead  ^ 2
is dead also  ^ 2
abimelech the son  ^ 2
cast a piece  ^ 2
went and came  ^ 2
thee for the sword  ^ 2
for her husband  ^ 2
and bore him a son  ^ 2
displeased the lord  ^ 2
and she became his wife  ^ 2
the wife of uriah  ^ 2
and she returned unto  ^ 2
all the servants  ^ 2
in the sight of this  ^ 2
sun for  ^ 2
thou didst  ^ 2
thing before  ^ 2
the lord also  ^ 2
i have sinned against the lord  ^ 2
departed unto  ^ 2
was dead for  ^ 2
was yet alive  ^ 2
and the servants of david  ^ 2
exceeding many  ^ 2
flocks and herds  ^ 2
then david arose  ^ 2
thing is this  ^ 2
and went in unto  ^ 2
of the lord and joab  ^ 2
save one  ^ 2
so david and all  ^ 2
because he did  ^ 2
this that absalom  ^ 2
and amnon said  ^ 2
thou this  ^ 2
this folly  ^ 2
no such thing  ^ 2
and i whither  ^ 2
put now  ^ 2
he is thy brother  ^ 2
regard not  ^ 2
and absalom came  ^ 2
now thy servant  ^ 2
thy servant and the king  ^ 2
go lest  ^ 2
absalom nay  ^ 2
the son of shimeah  ^ 2
of shimeah davids  ^ 2
and fled and it came to pass  ^ 2
of them left  ^ 2
then the king arose  ^ 2
for amnon  ^ 2
amnon only  ^ 2
only is dead  ^ 2
the thing to  ^ 2
but absalom fled  ^ 2
so it is  ^ 2
and jonadab said  ^ 2
fled and went  ^ 2
and went to geshur  ^ 2
man and he said  ^ 2
said unto him i  ^ 2
unto him i pray thee  ^ 2
that i may see  ^ 2
the king i pray thee  ^ 2
amnons house  ^ 2
tamar saying  ^ 2
man from  ^ 2
the kings heart  ^ 2
remember the lord  ^ 2
on the ground which  ^ 2
said i will now  ^ 2
thing unto  ^ 2
of god so  ^ 2
is my lord the king  ^ 2
now speak  ^ 2
hath spoken for  ^ 2
a wise woman  ^ 2
woman and said  ^ 2
of an angel of god  ^ 2
fell to the ground  ^ 2
and saw not  ^ 2
not the kings  ^ 2
from the sole of his foot  ^ 2
no blemish  ^ 2
him to the king  ^ 2
this manner  ^ 2
there go  ^ 2
am i come  ^ 2
behold i sent  ^ 2
and with absalom  ^ 2
with absalom  ^ 2
the hearts of the men  ^ 2
absalom and david  ^ 2
we shall not  ^ 2
from absalom  ^ 2
unto all his servants  ^ 2
his servants that  ^ 2
and the kings servants  ^ 2
and the king went forth  ^ 2
went forth and all  ^ 2
and all his household  ^ 2
ten women  ^ 2
the king to  ^ 2
to ittai  ^ 2
goest thou  ^ 2
the king for judgment  ^ 2
of what  ^ 2
the way of the gate  ^ 2
liveth surely  ^ 2
in what place  ^ 2
even there  ^ 2
were with and all  ^ 2
the people passed over  ^ 2
and all the country  ^ 2
wept with a loud  ^ 2
said also unto  ^ 2
i will tarry  ^ 2
word from  ^ 2
and absalom said  ^ 2
a burden unto  ^ 2
davids friend  ^ 2
that every man  ^ 2
manner did  ^ 2
after forty  ^ 2
in hebron for  ^ 2
what have i to do with you ye sons  ^ 2
have i to do with you ye sons of zeruiah  ^ 2
were with him came  ^ 2
there and absalom  ^ 2
and absalom and all  ^ 2
people and all  ^ 2
and hushai said  ^ 2
thee that i may find grace  ^ 2
upon thee all  ^ 2
man then said  ^ 2
the king why  ^ 2
and pursue after  ^ 2
gathered unto  ^ 2
falleth on  ^ 2
so much as one  ^ 2
to that  ^ 2
of israel and thus  ^ 2
and thus and thus  ^ 2
zadok and to  ^ 2
and to abiathar  ^ 2
abiathar the priests  ^ 2
quickly and tell  ^ 2
lodge not  ^ 2
them and they went  ^ 2
and told king  ^ 2
was not known  ^ 2
the king only  ^ 2
arose and all  ^ 2
jordan by  ^ 2
and died and was buried  ^ 2
and was buried in the sepulcher  ^ 2
jordan he  ^ 2
son whose name  ^ 2
and barzillai the gileadite  ^ 2
so all the people  ^ 2
and the saying pleased  ^ 2
of israel then said  ^ 2
what he  ^ 2
call now  ^ 2
if not  ^ 2
is a man of war  ^ 2
and his men that  ^ 2
joab and said  ^ 2
thee ten shekels of silver  ^ 2
and ittai saying  ^ 2
against then said  ^ 2
while he was yet alive  ^ 2
then said joab  ^ 2
thus with  ^ 2
the trumpet and the people  ^ 2
and the people returned  ^ 2
and cast him into  ^ 2
the lord hath avenged  ^ 2
then said ahimaaz  ^ 2
ahimaaz the son  ^ 2
and a third part under the hand  ^ 2
another day  ^ 2
because the kings  ^ 2
by the way of the plain  ^ 2
unto the wall  ^ 2
running alone  ^ 2
i saw a great  ^ 2
is the young man absalom  ^ 2
absalom safe  ^ 2
go forth for  ^ 2
here and he turned aside  ^ 2
thus he said  ^ 2
o my son absalom  ^ 2
and went up to  ^ 2
by the gate  ^ 2
gave all  ^ 2
israel and the battle  ^ 2
before the servants  ^ 2
over the face  ^ 2
that was under  ^ 2
israel is come  ^ 2
and shimei the son  ^ 2
jordan before  ^ 2
fell down before  ^ 2
it to his heart  ^ 2
of all the house  ^ 2
but abishai the son  ^ 2
that the king said  ^ 2
any more unto  ^ 2
in peace unto  ^ 2
jordan with  ^ 2
am this day fourscore  ^ 2
fourscore years  ^ 2
let thy servant i pray thee  ^ 2
him and all the people  ^ 2
answered the men  ^ 2
of the men of judah  ^ 2
of all thy servants  ^ 2
of thy sons and of thy daughters  ^ 2
and joab came  ^ 2
came into the house  ^ 2
into the house to  ^ 2
for this day  ^ 2
and speak comfortably  ^ 2
and he delivered  ^ 2
delivered us out of the hand  ^ 2
of the cities of judah  ^ 2
of judah and the lord  ^ 2
ishbosheth sauls  ^ 2
david was  ^ 2
of ishbosheth the son  ^ 2
the one on the one side  ^ 2
of the pool  ^ 2
and the other on the other side  ^ 2
which is in gibeon  ^ 2
from following abner  ^ 2
my face to  ^ 2
him under the fifth  ^ 2
and the sun went down  ^ 2
of benjamin gathered themselves together  ^ 2
as god liveth  ^ 2
surely then  ^ 2
and joab returned  ^ 2
men died  ^ 2
the men of jabeshgilead  ^ 2
because ye have done  ^ 2
ye have done this  ^ 2
show kindness  ^ 2
me king over  ^ 2
saul is dead  ^ 2
so joab and abishai  ^ 2
and abishai his brother  ^ 2
and he that  ^ 2
he that  ^ 2
out of the highway  ^ 2
the inheritance of the lord  ^ 2
in israel thou  ^ 2
even to jerusalem  ^ 2
is not so  ^ 2
a man of mount  ^ 2
of ahilud was recorder  ^ 2
shut up unto  ^ 2
and the king took  ^ 2
when they were at  ^ 2
stone which  ^ 2
because he slew  ^ 2
in the days of david  ^ 2
year after  ^ 2
dropped upon  ^ 2
from the men  ^ 2
of saul and the bones  ^ 2
and the bones of jonathan  ^ 2
of jonathan his son  ^ 2
was entreated for the land  ^ 2
of saul and jonathan  ^ 2
which was of the sons  ^ 2
was of the sons of the giant  ^ 2
not the light  ^ 2
again a battle  ^ 2
of israel had sworn  ^ 2
sought to slay  ^ 2
his house neither  ^ 2
that was between  ^ 2
took the two  ^ 2
and he delivered them into the hands  ^ 2
of all his enemies  ^ 2
spoke unto the lord  ^ 2
unto the lord the words  ^ 2
song in the day  ^ 2
by he bowed  ^ 2
he bowed the heavens  ^ 2
the heavens also and came down  ^ 2
also and came down and darkness  ^ 2
and darkness was under  ^ 2
was under his feet  ^ 2
his feet and he rode  ^ 2
and he rode upon  ^ 2
upon a cherub  ^ 2
a cherub and did fly  ^ 2
waters and thick clouds  ^ 2
