a-apf	adjective, accusative, plural, feminine
v-pps-3s	verb, present, passive, subjunctive, third, singular
v-rai-1p	verb, perfect, active, indicative, first, plural
v-rai-1s	verb, perfect, active, indicative, first, singular
v-rai-2p	verb, perfect, active, indicative, second, plural
v-rai-2s	verb, perfect, active, indicative, second, singular
v-rai-3p	verb, perfect, active, indicative, third, plural
v-rai-3s	verb, perfect, active, indicative, third, singular
v-ram-2p	verb, perfect, active, imperative, second, plural
v-ran	verb, perfect, active, infinitive
v-rap-apm	verb, perfect, active, participle, accusative, plural, masculine
v-rap-apn	verb, perfect, active, participle, accusative, plural, neuter
v-rap-asf	verb, perfect, active, participle, accusative, singular, feminine
v-rap-asm	verb, perfect, active, participle, accusative, singular, masculine
v-rap-dpm	verb, perfect, active, participle, dative, plural, masculine
v-rap-dsm	verb, perfect, active, participle, dative, singular, masculine
v-rap-dsn	verb, perfect, active, participle, dative, singular, neuter
v-rap-gpm	verb, perfect, active, participle, genitive, plural, masculine
v-rap-gpn	verb, perfect, active, participle, genitive, plural, neuter
v-rap-gsf	verb, perfect, active, participle, genitive, singular, feminine
v-rap-gsm	verb, perfect, active, participle, genitive, singular, masculine
v-rap-npm	verb, perfect, active, participle, nominative, plural, masculine
v-rap-npn	verb, perfect, active, participle, nominative, plural, neuter
v-rap-nsf	verb, perfect, active, participle, nominative, singular, feminine
v-rap-nsm	verb, perfect, active, participle, nominative, singular, masculine
v-rap-nsn	verb, perfect, active, participle, nominative, singular, neuter
v-ras-1p	verb, perfect, active, subjunctive, first, plural
v-ras-1s	verb, perfect, active, subjunctive, first, singular
v-ras-2p	verb, perfect, active, subjunctive, second, plural
v-ras-2s	verb, perfect, active, subjunctive, second, singular
v-rdi-3s	verb, perfect, middle deponent, indicative, third, singular
v-rep-nsf	verb, perfect, either middle or passive, participle, nominative, singular, feminine
v-rep-vsf	verb, perfect, either middle or passive, participle, vocative, singular, feminine
v-rmi-1s	verb, perfect, middle, indicative, first, singular
v-rmi-2p	verb, perfect, middle, indicative, second, plural
v-rmi-2s	verb, perfect, middle, indicative, second, singular
v-rmi-3s	verb, perfect, middle, indicative, third, singular
v-rmm-2p	verb, perfect, middle, imperative, second, plural
v-rmp-apm	verb, perfect, middle, participle, accusative, plural, masculine
v-rmp-asm	verb, perfect, middle, participle, accusative, singular, masculine
v-rmp-dpm	verb, perfect, middle, participle, dative, plural, masculine
v-rmp-gpm	verb, perfect, middle, participle, genitive, plural, masculine
v-rmp-gsf	verb, perfect, middle, participle, genitive, singular, feminine
v-rmp-npm	verb, perfect, middle, participle, nominative, plural, masculine
v-rmp-nsm	verb, perfect, middle, participle, nominative, singular, masculine
v-rni-1p	verb, perfect, middle or passive deponent, indicative, first, plural
v-rni-1s	verb, perfect, middle or passive deponent, indicative, first, singular
v-rni-3s	verb, perfect, middle or passive deponent, indicative, third, singular
v-rnn	verb, perfect, middle or passive deponent, infinitive
v-rnp-apm	verb, perfect, middle or passive deponent, participle, accusative, plural, masculine
v-rnp-asf	verb, perfect, middle or passive deponent, participle, accusative, singular, feminine
v-rnp-dpf	verb, perfect, middle or passive deponent, participle, dative, plural, feminine
v-rnp-npm	verb, perfect, middle or passive deponent, participle, nominative, plural, masculine
v-rnp-nsm	verb, perfect, middle or passive deponent, participle, nominative, singular, masculine
v-rpi-1p	verb, perfect, passive, indicative, first, plural
v-rpi-1s	verb, perfect, passive, indicative, first, singular
v-rpi-2p	verb, perfect, passive, indicative, second, plural
v-rpi-2s	verb, perfect, passive, indicative, second, singular
v-rpi-3p	verb, perfect, passive, indicative, third, plural
v-rpi-3s	verb, perfect, passive, indicative, third, singular
v-rpm-2s	verb, perfect, passive, imperative, second, singular
v-rpn	verb, perfect, passive, infinitive
v-rpp-apf	verb, perfect, passive, participle, accusative, plural, feminine
v-rpp-apm	verb, perfect, passive, participle, accusative, plural, masculine
v-rpp-apn	verb, perfect, passive, participle, accusative, plural, neuter
v-rpp-asf	verb, perfect, passive, participle, accusative, singular, feminine
v-rpp-asm	verb, perfect, passive, participle, accusative, singular, masculine
v-rpp-asn	verb, perfect, passive, participle, accusative, singular, neuter
v-rpp-dpm	verb, perfect, passive, participle, dative, plural, masculine
v-rpp-dpn	verb, perfect, passive, participle, dative, plural, neuter
v-rpp-dsf	verb, perfect, passive, participle, dative, singular, feminine
v-rpp-dsm	verb, perfect, passive, participle, dative, singular, masculine
v-rpp-dsn	verb, perfect, passive, participle, dative, singular, neuter
v-rpp-gpf	verb, perfect, passive, participle, genitive, plural, feminine
v-rpp-gpm	verb, perfect, passive, participle, genitive, plural, masculine
v-rpp-gpn	verb, perfect, passive, participle, genitive, plural, neuter
v-rpp-gsf	verb, perfect, passive, participle, genitive, singular, feminine
v-rpp-gsm	verb, perfect, passive, participle, genitive, singular, masculine
v-rpp-gsn	verb, perfect, passive, participle, genitive, singular, neuter
v-rpp-npf	verb, perfect, passive, participle, nominative, plural, feminine
v-rpp-npm	verb, perfect, passive, participle, nominative, plural, masculine
v-rpp-npn	verb, perfect, passive, participle, nominative, plural, neuter
v-rpp-nsf	verb, perfect, passive, participle, nominative, singular, feminine
v-rpp-nsm	verb, perfect, passive, participle, nominative, singular, masculine
v-rpp-nsn	verb, perfect, passive, participle, nominative, singular, neuter
v-rpp-vpm	verb, perfect, passive, participle, vocative, plural, masculine
v-rpp-vsf	verb, perfect, passive, participle, vocative, singular, feminine
v-rpp-vsm	verb, perfect, passive, participle, vocative, singular, masculine
x-apf	indefinite pronoun, accusative, plural, feminine
x-apm	indefinite pronoun, accusative, plural, masculine
x-apn	indefinite pronoun, accusative, plural, neuter
x-asf	indefinite pronoun, accusative, singular, feminine
x-asm	indefinite pronoun, accusative, singular, masculine
x-asn	indefinite pronoun, accusative, singular, neuter
x-dpm	indefinite pronoun, dative, plural, masculine
x-dsf	indefinite pronoun, dative, singular, feminine
x-dsm	indefinite pronoun, dative, singular, masculine
x-dsn	indefinite pronoun, dative, singular, neuter
x-gpf	indefinite pronoun, genitive, plural, feminine
x-gpm	indefinite pronoun, genitive, plural, masculine
x-gpn	indefinite pronoun, genitive, plural, neuter
x-gsm	indefinite pronoun, genitive, singular, masculine
x-gsn	indefinite pronoun, genitive, singular, neuter
x-npf	indefinite pronoun, nominative, plural, feminine
x-npm	indefinite pronoun, nominative, plural, masculine
x-npn	indefinite pronoun, nominative, plural, neuter
x-nsf	indefinite pronoun, nominative, singular, feminine
x-nsm	indefinite pronoun, nominative, singular, masculine
x-nsn	indefinite pronoun, nominative, singular, neuter
